time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2019/09/05/07:27:24.215524,6891,1567636044,215051106,gx5_link,-0.134578868747,0.106817163527,0.778304517269,0.603921055794,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000962083169725,-0.00374631327577,0.00101948482916,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.143789857691,-3.30741847694,-9.22652096808,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.227486,6892,1567636044,227107258,gx5_link,-0.13457980752,0.106813021004,0.77830684185,0.603918731213,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",-0.000131303037051,-0.00302113685757,0.000860278611071,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.142669247948,-3.30619231582,-9.22576550782,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.239889,6893,1567636044,239379886,gx5_link,-0.134580552578,0.106814533472,0.778308153152,0.603916525841,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000611610303167,-0.00312923197635,0.00189249461982,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.146003531311,-3.30847799242,-9.22741032958,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.257485,6894,1567636044,257032518,gx5_link,-0.134574741125,0.10681412369,0.77831029892,0.603915095329,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",-0.000276405800832,-0.00300527899526,0.00136743381154,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.143520428957,-3.30857856452,-9.22569300234,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.269617,6895,1567636044,269070410,gx5_link,-0.134572714567,0.106811992824,0.778312265873,0.603913426399,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",-0.000366896012565,-0.00311723630875,0.00167431018781,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.142261724425,-3.30697028786,-9.22366577268,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.287605,6896,1567636044,287124360,gx5_link,-0.134580507874,0.106811545789,0.778312563896,0.603911340237,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.00121329177637,-0.00366741395555,0.00108619767707,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.138901676768,-3.3083610481,-9.2237856406,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.299485,6897,1567636044,299064512,gx5_link,-0.13457390666,0.10680861026,0.778315663338,0.603909313679,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",-0.000634008727502,-0.00316211394966,0.000972718815319,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.141257501682,-3.30544562638,-9.2239131099,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.317457,6898,1567636044,317037521,gx5_link,-0.134573817253,0.106810927391,0.778322160244,0.603900671005,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000133089662995,-0.00328467669897,0.000668777734973,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.141283951197,-3.30671447217,-9.22426511228,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.329491,6899,1567636044,329098973,gx5_link,-0.134575486183,0.106806986034,0.778325796127,0.603896200657,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000348092231434,-0.00388729036786,0.00155517400708,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.142272130642,-3.30530792445,-9.22395813346,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.347456,6900,1567636044,347039573,gx5_link,-0.134571328759,0.106805682182,0.778330743313,0.603890955448,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",-0.000358897028491,-0.003010928398,0.000246379175223,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.140310143111,-3.30669546872,-9.22291148186,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
