time,.data
2019/09/05/07:27:23.965141,3.06796157577
2019/09/05/07:27:23.978047,3.06796157577
2019/09/05/07:27:23.991117,3.06796157577
2019/09/05/07:27:24.004316,3.06796157577
2019/09/05/07:27:24.017335,3.06796157577
2019/09/05/07:27:24.030380,3.06796157577
2019/09/05/07:27:24.043219,3.06796157577
2019/09/05/07:27:24.057060,3.06796157577
2019/09/05/07:27:24.070108,3.06796157577
2019/09/05/07:27:24.082993,3.06796157577
2019/09/05/07:27:24.096032,3.06796157577
2019/09/05/07:27:24.109026,3.06796157577
2019/09/05/07:27:24.122128,3.06796157577
2019/09/05/07:27:24.135015,3.06796157577
2019/09/05/07:27:24.147943,3.06796157577
2019/09/05/07:27:24.161105,3.06796157577
2019/09/05/07:27:24.174314,3.06796157577
2019/09/05/07:27:24.187228,3.06796157577
2019/09/05/07:27:24.200143,3.06796157577
2019/09/05/07:27:24.213087,3.06796157577
2019/09/05/07:27:24.226083,3.06796157577
2019/09/05/07:27:24.239088,3.06796157577
2019/09/05/07:27:24.252036,3.06796157577
2019/09/05/07:27:24.265064,3.06796157577
2019/09/05/07:27:24.278072,3.06796157577
2019/09/05/07:27:24.291014,3.06796157577
2019/09/05/07:27:24.305137,3.06796157577
2019/09/05/07:27:24.318122,3.06796157577
2019/09/05/07:27:24.332055,3.06796157577
2019/09/05/07:27:24.345001,3.06796157577
2019/09/05/07:27:24.357965,3.06796157577
2019/09/05/07:27:24.371000,3.06796157577
2019/09/05/07:27:24.386038,3.06796157577
2019/09/05/07:27:24.398971,3.06796157577
2019/09/05/07:27:24.412010,3.06796157577
2019/09/05/07:27:24.425269,3.06796157577
2019/09/05/07:27:24.439002,3.06796157577
2019/09/05/07:27:24.451948,3.06796157577
2019/09/05/07:27:24.465022,3.06796157577
2019/09/05/07:27:24.477905,3.06796157577
2019/09/05/07:27:24.490974,3.06796157577
2019/09/05/07:27:24.504026,3.06796157577
2019/09/05/07:27:24.516910,3.06796157577
2019/09/05/07:27:24.530010,3.06796157577
2019/09/05/07:27:24.543111,3.06796157577
2019/09/05/07:27:24.555984,3.06796157577
2019/09/05/07:27:24.568969,3.06796157577
2019/09/05/07:27:24.582120,3.06796157577
2019/09/05/07:27:24.596003,3.06796157577
2019/09/05/07:27:24.609955,3.06796157577
2019/09/05/07:27:24.624086,3.06796157577
2019/09/05/07:27:24.637875,3.06796157577
2019/09/05/07:27:24.651235,3.06796157577
2019/09/05/07:27:24.664932,3.06796157577
2019/09/05/07:27:24.677871,3.06796157577
2019/09/05/07:27:24.691111,3.06796157577
2019/09/05/07:27:24.704910,3.06796157577
2019/09/05/07:27:24.718120,3.06796157577
2019/09/05/07:27:24.731981,3.06796157577
2019/09/05/07:27:24.744888,3.06796157577
2019/09/05/07:27:24.757927,3.06796157577
2019/09/05/07:27:24.770973,3.06796157577
2019/09/05/07:27:24.783858,3.06796157577
2019/09/05/07:27:24.797090,3.06796157577
2019/09/05/07:27:24.811007,3.06796157577
2019/09/05/07:27:24.824810,3.06796157577
2019/09/05/07:27:24.839055,3.06796157577
2019/09/05/07:27:24.853006,3.06796157577
2019/09/05/07:27:24.866174,3.06796157577
2019/09/05/07:27:24.879997,3.06796157577
2019/09/05/07:27:24.893107,3.06796157577
2019/09/05/07:27:24.907044,3.06796157577
2019/09/05/07:27:24.920995,3.06796157577
2019/09/05/07:27:24.934970,3.06796157577
2019/09/05/07:27:24.947948,3.06796157577
2019/09/05/07:27:24.961807,3.06796157577
2019/09/05/07:27:24.974814,3.06796157577
2019/09/05/07:27:24.989032,3.06796157577
2019/09/05/07:27:25.001887,3.06642759498
2019/09/05/07:27:25.015896,3.06796157577
2019/09/05/07:27:25.028911,3.06796157577
2019/09/05/07:27:25.041788,3.06796157577
2019/09/05/07:27:25.054974,3.06796157577
2019/09/05/07:27:25.067886,3.06796157577
2019/09/05/07:27:25.080949,3.06796157577
2019/09/05/07:27:25.094538,3.06796157577
2019/09/05/07:27:25.106962,3.06796157577
2019/09/05/07:27:25.119905,3.06796157577
2019/09/05/07:27:25.132868,3.06796157577
2019/09/05/07:27:25.145865,3.06796157577
2019/09/05/07:27:25.158864,3.06796157577
2019/09/05/07:27:25.171899,3.06796157577
2019/09/05/07:27:25.184855,3.06796157577
2019/09/05/07:27:25.197915,3.06796157577
2019/09/05/07:27:25.211097,3.06796157577
2019/09/05/07:27:25.223825,3.06796157577
2019/09/05/07:27:25.236873,3.06796157577
2019/09/05/07:27:25.249749,3.06796157577
2019/09/05/07:27:25.262879,3.06796157577
2019/09/05/07:27:25.275772,3.06796157577
2019/09/05/07:27:25.288949,3.06796157577
2019/09/05/07:27:25.301869,3.06796157577
2019/09/05/07:27:25.315033,3.06796157577
2019/09/05/07:27:25.327726,3.06796157577
2019/09/05/07:27:25.340817,3.06796157577
2019/09/05/07:27:25.353765,3.06796157577
2019/09/05/07:27:25.366945,3.06796157577
2019/09/05/07:27:25.379913,3.06796157577
2019/09/05/07:27:25.392989,3.06796157577
2019/09/05/07:27:25.405986,3.06796157577
2019/09/05/07:27:25.419850,3.06796157577
2019/09/05/07:27:25.432773,3.06796157577
2019/09/05/07:27:25.446181,3.06796157577
2019/09/05/07:27:25.458896,3.06796157577
2019/09/05/07:27:25.472885,3.06796157577
2019/09/05/07:27:25.485911,3.06796157577
2019/09/05/07:27:25.499706,3.06796157577
2019/09/05/07:27:25.512782,3.06796157577
2019/09/05/07:27:25.525916,3.06796157577
2019/09/05/07:27:25.538800,3.06796157577
2019/09/05/07:27:25.551759,3.06796157577
2019/09/05/07:27:25.564806,3.06796157577
2019/09/05/07:27:25.578047,3.06796157577
2019/09/05/07:27:25.592875,3.06796157577
2019/09/05/07:27:25.605772,3.06796157577
2019/09/05/07:27:25.619794,3.06796157577
2019/09/05/07:27:25.633700,3.06796157577
2019/09/05/07:27:25.647673,3.06796157577
2019/09/05/07:27:25.662774,3.06796157577
2019/09/05/07:27:25.677710,3.06796157577
2019/09/05/07:27:25.690690,3.06796157577
2019/09/05/07:27:25.705752,3.06796157577
2019/09/05/07:27:25.718796,3.06796157577
2019/09/05/07:27:25.731829,3.06796157577
2019/09/05/07:27:25.744690,3.06796157577
2019/09/05/07:27:25.757823,3.06796157577
2019/09/05/07:27:25.770832,3.06796157577
2019/09/05/07:27:25.784753,3.06796157577
2019/09/05/07:27:25.797844,3.06796157577
2019/09/05/07:27:25.812152,3.06796157577
2019/09/05/07:27:25.825720,3.06796157577
2019/09/05/07:27:25.838816,3.06796157577
2019/09/05/07:27:25.851875,3.06796157577
2019/09/05/07:27:25.866720,3.06796157577
2019/09/05/07:27:25.880643,3.06796157577
2019/09/05/07:27:25.894936,3.06796157577
2019/09/05/07:27:25.907698,3.06796157577
2019/09/05/07:27:25.921629,3.06796157577
2019/09/05/07:27:25.935630,3.06796157577
2019/09/05/07:27:25.948857,3.06796157577
2019/09/05/07:27:25.961604,3.06796157577
2019/09/05/07:27:25.975897,3.06796157577
2019/09/05/07:27:25.988611,3.06796157577
2019/09/05/07:27:26.002805,3.06796157577
2019/09/05/07:27:26.015738,3.06796157577
2019/09/05/07:27:26.030861,3.06796157577
2019/09/05/07:27:26.042982,3.06796157577
2019/09/05/07:27:26.056700,3.06796157577
2019/09/05/07:27:26.069861,3.06796157577
2019/09/05/07:27:26.083856,3.06796157577
2019/09/05/07:27:26.096669,3.06796157577
2019/09/05/07:27:26.109871,3.06796157577
2019/09/05/07:27:26.123941,3.06796157577
2019/09/05/07:27:26.137731,3.06796157577
2019/09/05/07:27:26.150713,3.06796157577
2019/09/05/07:27:26.163737,3.06796157577
2019/09/05/07:27:26.176700,3.06796157577
2019/09/05/07:27:26.190755,3.06796157577
2019/09/05/07:27:26.203843,3.06796157577
2019/09/05/07:27:26.216708,3.06796157577
2019/09/05/07:27:26.229695,3.06796157577
2019/09/05/07:27:26.242643,3.06796157577
2019/09/05/07:27:26.255722,3.06796157577
2019/09/05/07:27:26.268728,3.06796157577
2019/09/05/07:27:26.281857,3.06796157577
2019/09/05/07:27:26.296694,3.06796157577
2019/09/05/07:27:26.309641,3.06796157577
2019/09/05/07:27:26.322696,3.06796157577
2019/09/05/07:27:26.335843,3.06796157577
2019/09/05/07:27:26.348786,3.06796157577
2019/09/05/07:27:26.361707,3.06796157577
2019/09/05/07:27:26.375626,3.06796157577
2019/09/05/07:27:26.388596,3.06796157577
2019/09/05/07:27:26.401570,3.06796157577
2019/09/05/07:27:26.414644,3.06796157577
2019/09/05/07:27:26.428015,3.06796157577
2019/09/05/07:27:26.441578,3.06796157577
2019/09/05/07:27:26.454525,3.06796157577
2019/09/05/07:27:26.468636,3.06796157577
2019/09/05/07:27:26.481884,3.06796157577
2019/09/05/07:27:26.494714,3.06796157577
2019/09/05/07:27:26.507756,3.06796157577
2019/09/05/07:27:26.521887,3.06796157577
2019/09/05/07:27:26.536631,3.06796157577
2019/09/05/07:27:26.549557,3.06796157577
2019/09/05/07:27:26.563577,3.06796157577
2019/09/05/07:27:26.576723,3.06796157577
2019/09/05/07:27:26.590872,3.06796157577
2019/09/05/07:27:26.605570,3.06796157577
2019/09/05/07:27:26.619648,3.06796157577
2019/09/05/07:27:26.632586,3.06796157577
2019/09/05/07:27:26.646725,3.06796157577
2019/09/05/07:27:26.659742,3.06796157577
2019/09/05/07:27:26.673537,3.06796157577
2019/09/05/07:27:26.686524,3.06796157577
2019/09/05/07:27:26.699559,3.06796157577
2019/09/05/07:27:26.712677,3.06796157577
2019/09/05/07:27:26.725673,3.06796157577
2019/09/05/07:27:26.739671,3.06796157577
2019/09/05/07:27:26.752748,3.06796157577
2019/09/05/07:27:26.765577,3.06796157577
2019/09/05/07:27:26.778491,3.06796157577
2019/09/05/07:27:26.791558,3.06796157577
2019/09/05/07:27:26.804520,3.06796157577
2019/09/05/07:27:26.817609,3.06796157577
2019/09/05/07:27:26.830693,3.06796157577
2019/09/05/07:27:26.843503,3.06796157577
2019/09/05/07:27:26.856576,3.06796157577
2019/09/05/07:27:26.869594,3.06796157577
2019/09/05/07:27:26.882557,3.06796157577
2019/09/05/07:27:26.895819,3.06796157577
2019/09/05/07:27:26.908835,3.06796157577
2019/09/05/07:27:26.921528,3.06796157577
2019/09/05/07:27:26.934524,3.06796157577
2019/09/05/07:27:26.947453,3.06796157577
2019/09/05/07:27:26.960484,3.06796157577
2019/09/05/07:27:26.973690,3.06796157577
2019/09/05/07:27:26.986716,3.06796157577
2019/09/05/07:27:26.999594,3.06796157577
2019/09/05/07:27:27.012488,3.06796157577
2019/09/05/07:27:27.025568,3.06796157577
2019/09/05/07:27:27.038430,3.06796157577
2019/09/05/07:27:27.051524,3.06796157577
2019/09/05/07:27:27.064538,3.06796157577
2019/09/05/07:27:27.077623,3.06796157577
2019/09/05/07:27:27.090464,3.06796157577
2019/09/05/07:27:27.103574,3.06796157577
2019/09/05/07:27:27.116484,3.06796157577
2019/09/05/07:27:27.129504,3.06796157577
2019/09/05/07:27:27.142446,3.06796157577
2019/09/05/07:27:27.155499,3.06796157577
2019/09/05/07:27:27.168422,3.06796157577
2019/09/05/07:27:27.181494,3.06796157577
2019/09/05/07:27:27.194497,3.06796157577
2019/09/05/07:27:27.207530,3.06796157577
2019/09/05/07:27:27.220512,3.06796157577
2019/09/05/07:27:27.233497,3.06796157577
2019/09/05/07:27:27.246409,3.06796157577
2019/09/05/07:27:27.259415,3.06796157577
2019/09/05/07:27:27.272583,3.06796157577
2019/09/05/07:27:27.285523,3.06796157577
2019/09/05/07:27:27.298426,3.06796157577
2019/09/05/07:27:27.311570,3.06796157577
2019/09/05/07:27:27.326831,3.06796157577
2019/09/05/07:27:27.338324,3.06796157577
2019/09/05/07:27:27.351375,3.06796157577
2019/09/05/07:27:27.364354,3.06796157577
2019/09/05/07:27:27.377504,3.06796157577
2019/09/05/07:27:27.391426,3.06796157577
2019/09/05/07:27:27.404403,3.06796157577
2019/09/05/07:27:27.418409,3.06796157577
2019/09/05/07:27:27.431422,3.06796157577
2019/09/05/07:27:27.444551,3.06796157577
2019/09/05/07:27:27.457355,3.06796157577
2019/09/05/07:27:27.470351,3.06796157577
2019/09/05/07:27:27.483514,3.06796157577
2019/09/05/07:27:27.496422,3.06796157577
2019/09/05/07:27:27.509409,3.06796157577
2019/09/05/07:27:27.522359,3.06796157577
2019/09/05/07:27:27.535429,3.06796157577
2019/09/05/07:27:27.548519,3.06796157577
2019/09/05/07:27:27.561418,3.06796157577
2019/09/05/07:27:27.574347,3.06796157577
2019/09/05/07:27:27.587669,3.06796157577
2019/09/05/07:27:27.601451,3.06796157577
2019/09/05/07:27:27.614352,3.06796157577
2019/09/05/07:27:27.627344,3.06796157577
2019/09/05/07:27:27.640367,3.06796157577
2019/09/05/07:27:27.653346,3.06796157577
2019/09/05/07:27:27.666350,3.06796157577
2019/09/05/07:27:27.679307,3.06796157577
2019/09/05/07:27:27.692427,3.06796157577
2019/09/05/07:27:27.705415,3.06796157577
2019/09/05/07:27:27.718370,3.06796157577
2019/09/05/07:27:27.731436,3.06796157577
2019/09/05/07:27:27.744452,3.06796157577
2019/09/05/07:27:27.757289,3.06796157577
2019/09/05/07:27:27.770329,3.06796157577
2019/09/05/07:27:27.783383,3.06796157577
2019/09/05/07:27:27.796513,3.06796157577
2019/09/05/07:27:27.809426,3.06796157577
2019/09/05/07:27:27.822362,3.06796157577
2019/09/05/07:27:27.835476,3.06796157577
2019/09/05/07:27:27.848460,3.06796157577
2019/09/05/07:27:27.861415,3.06796157577
2019/09/05/07:27:27.874346,3.06796157577
2019/09/05/07:27:27.887332,3.06796157577
2019/09/05/07:27:27.900352,3.06796157577
2019/09/05/07:27:27.913375,3.06796157577
2019/09/05/07:27:27.926520,3.06796157577
2019/09/05/07:27:27.939543,3.06796157577
2019/09/05/07:27:27.952428,3.06796157577
2019/09/05/07:27:27.965267,3.06796157577
2019/09/05/07:27:27.978258,3.06796157577
