time,.x,.y,.z
2019/09/05/07:27:23.958339,0.345367168747,0.0039217137346,0.0
2019/09/05/07:27:23.971787,0.345366871503,0.00391908397152,0.0
2019/09/05/07:27:23.984645,0.34536134081,0.00392486119476,0.0
2019/09/05/07:27:23.997199,0.345347467932,0.00392895225524,0.0
2019/09/05/07:27:24.010300,0.345336001457,0.00393148408434,0.0
2019/09/05/07:27:24.023344,0.345336001457,0.00393148408434,0.0
2019/09/05/07:27:24.036499,0.345342874798,0.00394684269455,0.0
2019/09/05/07:27:24.050524,0.345342874798,0.00394684269455,0.0
2019/09/05/07:27:24.063399,0.345341650873,0.00394512944666,0.0
2019/09/05/07:27:24.076289,0.345350259153,0.00394453244209,0.0
2019/09/05/07:27:24.089462,0.345345694278,0.0039499851202,0.0
2019/09/05/07:27:24.102201,0.345342689316,0.00393912975686,0.0
2019/09/05/07:27:24.115235,0.345342315141,0.00395208007329,0.0
2019/09/05/07:27:24.128276,0.345337706307,0.00396034435182,0.0
2019/09/05/07:27:24.141241,0.345342617745,0.0039545071041,0.0
2019/09/05/07:27:24.154200,0.345342617745,0.0039545071041,0.0
2019/09/05/07:27:24.167712,0.345338299779,0.00395934436849,0.0
2019/09/05/07:27:24.180665,0.345324806251,0.00395075646776,0.0
2019/09/05/07:27:24.193380,0.345318599254,0.00396167645646,0.0
2019/09/05/07:27:24.206761,0.345323886168,0.00395416198151,0.0
2019/09/05/07:27:24.219430,0.345327595627,0.00395609619251,0.0
2019/09/05/07:27:24.232389,0.345323968374,0.0039492257455,0.0
2019/09/05/07:27:24.245469,0.345327016736,0.00395170433931,0.0
2019/09/05/07:27:24.258358,0.345317165996,0.00395936846584,0.0
2019/09/05/07:27:24.271354,0.345311262048,0.00395936021614,0.0
2019/09/05/07:27:24.284402,0.345311262048,0.00395936021614,0.0
2019/09/05/07:27:24.297093,0.345323192183,0.00394929850975,0.0
2019/09/05/07:27:24.311158,0.345308930373,0.00395417867494,0.0
2019/09/05/07:27:24.325390,0.345311652948,0.00396207755348,0.0
2019/09/05/07:27:24.338204,0.345309380003,0.00395551601402,0.0
2019/09/05/07:27:24.351121,0.345301053105,0.00396130687655,0.0
2019/09/05/07:27:24.364081,0.345301053105,0.00396130687655,0.0
2019/09/05/07:27:24.378299,0.345302080913,0.00396647095906,0.0
2019/09/05/07:27:24.392156,0.345306334302,0.00395958735546,0.0
2019/09/05/07:27:24.405287,0.345314091873,0.00395981527178,0.0
2019/09/05/07:27:24.418146,0.345314091873,0.00395981527178,0.0
2019/09/05/07:27:24.432172,0.34531626673,0.00396265433534,0.0
2019/09/05/07:27:24.445071,0.345324438533,0.00396629335696,0.0
2019/09/05/07:27:24.458038,0.345324799289,0.00397055535793,0.0
2019/09/05/07:27:24.471275,0.345321721974,0.00397054421088,0.0
2019/09/05/07:27:24.484163,0.34531829951,0.00395898413813,0.0
2019/09/05/07:27:24.497133,0.345326064182,0.00395527277811,0.0
2019/09/05/07:27:24.509980,0.345326064182,0.00395527277811,0.0
2019/09/05/07:27:24.523175,0.345333883951,0.00395832792885,0.0
2019/09/05/07:27:24.536036,0.345333883951,0.00395832792885,0.0
2019/09/05/07:27:24.549086,0.345337140813,0.00396070287303,0.0
2019/09/05/07:27:24.562148,0.345348129804,0.00396407711063,0.0
2019/09/05/07:27:24.575301,0.345348756255,0.00396951275082,0.0
2019/09/05/07:27:24.589150,0.345355257399,0.00397471344113,0.0
2019/09/05/07:27:24.603181,0.345340734877,0.00397605409503,0.0
2019/09/05/07:27:24.617274,0.345340734877,0.00397605409503,0.0
2019/09/05/07:27:24.631212,0.345337541007,0.00398746082399,0.0
2019/09/05/07:27:24.644054,0.345337541007,0.00398746082399,0.0
2019/09/05/07:27:24.658154,0.345344841447,0.00398613137271,0.0
2019/09/05/07:27:24.671203,0.345345886473,0.00398819093979,0.0
2019/09/05/07:27:24.684367,0.345333615135,0.00399169923558,0.0
2019/09/05/07:27:24.698009,0.345320287219,0.00398134127731,0.0
2019/09/05/07:27:24.711064,0.345318361405,0.00397820155996,0.0
2019/09/05/07:27:24.725092,0.345315667043,0.00397880183851,0.0
2019/09/05/07:27:24.738175,0.345315881917,0.00399043022861,0.0
2019/09/05/07:27:24.751189,0.345325537742,0.00399351306392,0.0
2019/09/05/07:27:24.763951,0.345325537742,0.00399351306392,0.0
2019/09/05/07:27:24.777092,0.345319610799,0.00398025528277,0.0
2019/09/05/07:27:24.790168,0.345323431609,0.00399038059461,0.0
